LIMCU;IMLITM;IMDSC1;LILOCN;LILOTN;QTD;LIUPMJ
HABN;2003G6JC E80026;CJ TRANSMISSAO CVT -AL;ESTDLI;;406;126203
HABN;2003G6JC E80027;CJ TRANSMISSAO CVT -AL;ESTDLI;;240;126205
HABN;2003G63B CM0026;CJ TRANSMISSAO CVT -AL;ESTDLI;;256;126204
HABN;2003G63B C60026;CJ TRANSMISSAO CVT -AL;ESTDLI;;228;126196
HABN;2003G63R CD0025;CJ TRANSMISSAO CVT -AL;ESTDLI;;-60;126174
HABN;2003A40H P000;CJ TRANSMISSAO CVT -AL;ESTMMO;;54;126173
HABN;2003B40H M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;134;126205
HABN;2003B40H P100;CJ TRANSMISSAO CVT -AL;ESTMMO;;60;126205
HABN;2003C6JC M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;120;126117
HABN;2003D6JC M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;109;126142
HABN;2003D6JC P000;CJ TRANSMISSAO CVT -AL;ESTMMO;;24;126114
HABN;2003D6JC P300;CJ TRANSMISSAO CVT -AL;ESTMMO;;60;126117
HABN;2003E6JC M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;180;126205
HABN;2003F6JH M800;CJ TRANSMISSAO CVT -AL;ESTMMO;;-630;126205
HABN;2003F63B M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;240;126204
HABN;2003F63B M200;CJ TRANSMISSAO CVT -AL;ESTMMO;;72;126202
HABN;2003F63B M700;CJ TRANSMISSAO CVT -AL;ESTMMO;;228;126203
HABN;2003G40H CA0028;CJ TRANSMISSAO CVT -AL;ESTMMO;;-60;126205
HABN;2003G40H M10028;CJ TRANSMISSAO CVT -AL;ESTMMO;;-2026;126205
HABN;2003G6JC CS0026;CJ TRANSMISSAO CVT -AL;ESTMMO;;-180;126170
HABN;2003G63B CR0026;CJ TRANSMISSAO CVT -AL;ESTMMO;;-23;126205
HABN;2003G63B C40026;CJ TRANSMISSAO CVT -AL;ESTMMO;;-60;126204
HABN;2003T6JH M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;60;126205
HAB1;2003G6JC E80026;CJ TRANSMISSAO CVT -AL;ESTDLI;;3;126125
HAB1;1110062H M000BB;BLOCO DO CILINDRO;ESTFND;;1922;126205
HAB1;12100KPT A001AA;CILINDRO DO PISTAO BRUTO;ESTFND;;3968;0
HAB1;12100K2G 9000XA;CILINDRO COMP.(BRUTO)S/TRAT;ESTFND;;2905;0
HAB1;12100K2G 9000XB;CILINDRO COMP.(ACAB)C/TRAT;ESTFND;;2832;0
HAB1;1220162X M000AA;CABECOTE CILINDRO (SOZAI) ALUM;ESTFND;;845;0
HAB1;1220162X M000BB;CABECOTE CILINDRO;ESTFND;;1685;0
HAB1;100006HGWMA6;CONJ MOTOR 1.5 TURBO FFV;ESTMMO;;3;126205
HAB1;100006HZXMA7;CONJ MOTOR 1.5 FFV;ESTMMO;;1;126140
HAB1;100006WYZKA5;CONJ MOTOR 1.5 CVT;ESTMMO;;3;126167
HAB1;100006WZYMA5;CONJ MOTOR 1.5 FFV CVT;ESTMMO;;51;126205
HAB1;100006WZZMA5;CONJ MOTOR 1.5 FFV CVT;ESTMMO;;7;126181
HAB1;1000062XVME8;CONJ. MOTOR 1.5 FLEX CVT;ESTMMO;;2;126201
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTMMO;;507;126204
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTMMO;;514;126204
HAB1;2003B40H M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;850;126205
HAB1;2003B40H P000;CJ TRANSMISSAO CVT -AL;ESTMMO;;-114;126203
HAB1;2003D6JC M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;6;126140
HAB1;2003E6JC M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;408;126205
HAB1;2003F63B M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;102;126205
HAB1;2003F63B M100;CJ TRANSMISSAO CVT -AL;ESTMMO;;108;126203
HAB1;2003F63B M200;CJ TRANSMISSAO CVT -AL;ESTMMO;;86;126205
HAB1;2003F63B M300;CJ TRANSMISSAO CVT -AL;ESTMMO;;60;126205
HAB1;2003F63B M500;CJ TRANSMISSAO CVT -AL;ESTMMO;;60;126205
HAB1;2003F63B M600;CJ TRANSMISSAO CVT -AL;ESTMMO;;60;126203
HAB1;2003F63B M700;CJ TRANSMISSAO CVT -AL;ESTMMO;;132;126204
HAB1;2003F63B P100;CJ TRANSMISSAO CVT -AL;ESTMMO;;-36;126163
HAB1;2003G63B CM0026;CJ TRANSMISSAO CVT -AL;ESTMMO;;1;0
HAB1;2003S6JH M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;60;126177
HAB1;2003T6JH M000;CJ TRANSMISSAO CVT -AL;ESTMMO;;60;126205
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700348;1;0
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700499;1;0
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700546;1;0
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700547;1;0
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700548;1;0
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700549;1;0
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700682;1;0
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700686;1;0
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTREJ;01260700687;1;0
HAB1;1110062H T001;CONJ. BLOCO (PRE-USINADO);ESTREJ;01260700130;24;0
HAB1;1110062H T001;CONJ. BLOCO (PRE-USINADO);ESTREJ;01260700551;24;0
HAB1;12100KPT A001BB;CILINDRO DO PISTAO BRUTO;ESTREJ;01260700419;-12;0
HAB1;12100KPT A001BB;CILINDRO DO PISTAO BRUTO;ESTREJ;01260700420;-6;0
HAB1;12100KPT A001BB;CILINDRO DO PISTAO BRUTO;ESTREJ;01260700619;20;0
HAB1;12100KPT A001BB;CILINDRO DO PISTAO BRUTO;ESTREJ;01260700621;1;0
HAB1;12100KPT A001BB;CILINDRO DO PISTAO BRUTO;ESTREJ;01260700700;2;0
HAB1;12100K2G 9000;CILINDRO COMP.USI ACAB.;ESTREJ;01260700493;1;0
HAB1;12100K2G 9000BB;CILINDRO COMP.USI ON;ESTREJ;01260700421;-1;0
HAB1;12100K2G 9000BB;CILINDRO COMP.USI ON;ESTREJ;01260700699;2;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700118;1;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700251;10;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700256;2;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700261;5;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700262;1;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700534;1;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700540;1;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700543;1;0
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTREJ;01260700688;2;0
HAB1;1220162X M000BB;CABECOTE CILINDRO;ESTREJ;01260700712;-1;0
HAB1;1220162X M000BB;CABECOTE CILINDRO;ESTREJ;01260700713;-1;0
HAB1;2003G40H CK0028;CJ TRANSMISSAO CVT -AL;ESTREJ;01260700427;1;0
HAB1;2003G40H M10027;CJ TRANSMISSAO CVT -AL;ESTREJ;03260600945;1;126190
HAB1;2003B40H M000;CJ TRANSMISSAO CVT -AL;ESTTRA;10087324;228;126204
HAB1;2003B40H M000;CJ TRANSMISSAO CVT -AL;ESTTRA;10087384;114;126205
HAB1;2003B40H M000;CJ TRANSMISSAO CVT -AL;ESTTRA;10087404;54;126205
HAB1;2003E6JC M000;CJ TRANSMISSAO CVT -AL;ESTTRA;10086034;24;126188
HAB1;2003E6JC M000;CJ TRANSMISSAO CVT -AL;ESTTRA;10087384;60;126205
HAB1;2003E63B M301;CJ TRANSMISSAO CVT -AL;ESTTRA;10087004;1;126202
HAB1;2003E63B M701;CJ TRANSMISSAO CVT -AL;ESTTRA;10087004;1;126202
HAB1;2003F63B M500;CJ TRANSMISSAO CVT -AL;ESTTRA;10087384;102;126205
HAB1;2003F63B M500;CJ TRANSMISSAO CVT -AL;ESTTRA;10087404;18;126205
HAB1;2003T6JH M000;CJ TRANSMISSAO CVT -AL;ESTTRA;10087324;50;126204
HAB1;2003T6JH M000;CJ TRANSMISSAO CVT -AL;ESTTRA;10087384;10;126205
HAB1;1100B62H M000;BLOCO DO CILINDRO(SAIDA USI);ESTUSI;;1873;126204
HAB1;1110062H T001;CONJ. BLOCO (PRE-USINADO);ESTUSI;;1147;126205
HAB1;12100KPT A001BB;CILINDRO DO PISTAO BRUTO;ESTUSI;;3042;126205
HAB1;12100KPT A004;CILINDRO DO PISTAO ACABADO;ESTUSI;;2882;126204
HAB1;12100KRM 8400 AC;CILINDRO DO PISTAO 2W ACABADO;ESTUSI;;194;126187
HAB1;12100K2G 9000;CILINDRO COMP.USI ACAB.;ESTUSI;;7514;126204
HAB1;12100K2G 9000BB;CILINDRO COMP.USI ON;ESTUSI;;13703;126204
HAB1;12100K2G 9000XB;CILINDRO COMP.(ACAB)C/TRAT;ESTUSI;;234;126204
HAB1;1220B62X M000;CJ CABECOTE MOTOR (SAIDA USI);ESTUSI;;1540;126204
TERCHAB3;1110062H T001;CONJ. BLOCO (PRE-USINADO);6370414;14645967;162;126198
TERCHAB3;1110062H T001;CONJ. BLOCO (PRE-USINADO);6370414;14646737;36;126188
TERCHAB3;12100KPT A001BB;CILINDRO DO PISTAO BRUTO;6370414;14646747;768;126188
